par_id,community,text,label
7853,hopeless,"""Islamic philosophy has dealt at length with the study of inherent mental qualities and inclinations among human beings with special reference to moral virtue . Some human beings are totally inclined to the pursuit of virtue , and are consumed with desire for knowledge of the Divine World , known as m ' arifat , or gnosis . Others tend to be carried away by the things and pleasures of the world . There is a middle , order of persons who have inclination to gnosis , and also have aptitude for worldly , affairs . This last category is described by Imam Razi , writing in the 12th century , as """" the people of the right hand or the balanced people """" , and to such persons , control over the affairs of their fellowmen rightly belongs . The task is never easy ; mere goodness is no guarantee for success . Possession of all the virtues alone is not sufficient . There must be inspiration from a higher source . The element of marifat provides the necessary directions , by holding the attention to the Divine light . No leader of any community who has gained success in managing its affairs and certainly no leader who led his people out of bondage , or saved them from the threat of hopeless submergence under a majority , hostile to them , can ever have done so by the exercise of mere human intelligence , or brain power or character .""",1
10467,in-need,""""""" She has one huge platform , and information can go out to places that really need to know what 's going on in her hometown . She has always availed not only her platform , her voice , but also resources -- tangible resources -- to help those most in need in Houston and around . """"""",1
6052,disabled,"Budget 2017: you have to do more for the disabled, let's say the groups",1
7110,in-need,""""" ""For example, we have also helped the inhabitants of Yong Peng, who is under the opposition, because it is our responsibility to help those who need it,"" he added. """"",1
5082,women,ASWS CEO Di Gipey said that the coroner's report on the death of two women after long history of domestic violence again stressed the urgent need to make real changes that will make women and children safe.,1
7359,refugee,"""Vodafone Foundation Director Andrew Dunnett said : """" There were 16.7 million refugees worldwide at the end of 2013 and 50 per cent of them are under the age of 18 . Tablet-based learning programmes will provide many of the children in Dadaab with an unlimited information resource that they would otherwise not have had . """"""",1
1556,women,"King Salman of Saudi Arabia ordered Tuesday that women are authorized to drive cars, making a major reform that rights activists have long demanded in the Islamic kingdom. Through ...",1
2382,homeless,"Thousands of people made homeless people in an expulsion campaign in the slum of Kalyanpur Thursday occupy the open spaces around the slum they called at home, after the bulldozers have shaved their housing on the ground.",1
1416,vulnerable,"In each and every town or city where a Caxton local paper is distributed , you will find them immersed in their communities , providing assistance with projects that uplift society . A stand-out community newspaper initiative is DICE ( Do I Care Enough ) , a vital component of the Zululand Observer , indelibly linked to Zululand since 1973 . Not only is it involved in the care of the vulnerable and dispossessed , but it is active in all spheres of community upliftment wherever the need may be .",1
5948,disabled,"The discrimination of people with disabilities by society is one of the major problems undermining the progress of democratic practice in the country. It is always the dream of disabled people that as long as the Disability Bill is adopted, their position in society is positively influenced.",1
2477,disabled,"Themed ' March for Our Lives ' , the protesters included children , teenagers , pregnant women , the old and not excluding the disabled who rolled over on their wheel chairs .",1
6211,women,""""" ""I think that another main theme is the power of human resilience and the limit of the ashes of ruin, and to be arranged as a young person to speak and try to become justice. The bravery of these young women has just surprised us."" """"",1
1964,refugee,Hospitals fill as Rohingya refugees shiver through winter,1
4466,women,She said these women deserve the same type of choice as women all over the world should have.,1
5684,poor-families,"VARANASI : Over six decades to Independence and the Muslim community may still be lagging behind in the field of education . But , a number of Muslim women and girls-- particularly hailing from poor families-- are coming out to dispel the darkness of ignorance and bring about a new dawn for the coming generation of the community . They are doing the community proud by making sincere efforts at spreading literacy , especially among other girls and children .",1
2695,hopeless,"What we observed instead was a constantly evolving arms of education, in which the poorest children ended up being poorly equipped to fight. The signs are all around us: the booming industry of a billion pounds of private tutors paid to stimulate the students? ? ? Notes; Parents of acute tigers have stopped anything to bring their children into the best schools, and stressed students trying to navigate in a complex and often confusing university admission system.",1
10424,women,""""" ""I don't believe in abortion, I think it's mean. I would tell women to have their child and that God will provide,"" said Julene. """"",1
2581,in-need,"The ten wheelchairs were sought for children identified by the host, the Salvation Army, to allow them to become mobile, noted the manager. Baps Charity would go anywhere to make a donation provided there are people who need gifts without any discrimination relating to religion, color, origins or the tribe, he said.",1
266,in-need,""""" ""As Briggs & Amp; Stratton celebrates its 110th anniversary year, what a better way to reaffirm our commitment to the Milwaukee community than by providing a million dollars to children in need of pediatric care,"" Rick Carpenter, Vice-President Marketing of Corporate Marketing, said. ""His commitment to extend his support for the future.",1
9126,hopeless,Yes ... because there is no hope where he lives. India is a country of the third world. Do not be fooled by call centers in major cities. Most of the country is rural and most of the population is illiterate and hopeless.,1
3399,refugee,"For refugees begging for new life , Christmas sentiment is a luxury most of them could n't afford to expect under shadow of long-running conflicts .",1
7138,homeless,"For 12 years Ruby* lived a life of abuse , drugs , homelessness and prostitution . But two months ago she joined the lucky few to escape the horrors of prostitution .",1
8206,immigrant,"In an unmarked brick building , a few blocks from the Mexican border , immigrant parents clutched folders of birth certificates and asylum paperwork and sat on folding chairs , waiting to use a single , shared landline phone .",1
206,refugee,"""Smyth told HKFP : """" The biggest challenge is the no work policy . I think that refugees who come here , or asylum seekers , they 're unable to work and they have kids here -- their kids are stateless . That 's really the cause of a lot of stress in the community . """"""",1
8165,homeless,"Through Gawad Kalinga , Meloto has proven to be a key player in the housing industry , helping provide decent homes and sustainable livelihood to the marginalized and homeless Filipinos .",1
7341,refugee,Egypt billionare offers to buy Mediterranean island for refugees,1
4963,in-need,"The main charity of SA competitions is the DIGNITY DREAMS project, where reusable and washable health towels are given to schoolgirls in need.",1
5827,hopeless,"The residents of Poranu Kotuwa who have been deprived of healthy and independent lives in normal weather conditions, are faced with a really desperate future.",1
343,in-need,"""Helen Schafer chose to help a family in need . """" Rather than sending out gifts to my clients , I 've sent them a letter effectively saying : ' This is what we 're going to do because it feels a hell of a lot more meaningful ' . """"""",1
8630,poor-families,""""" """" Each family that qualifies for the program must be covered. Each child in poor families must be placed and maintained in school, and they should take advantage of health and nutrition aid, said Romualdez. """,1
6811,in-need,"While many Muslims can count on their blessings , they should not forget the fate of those who are poor and in need of help .",1
717,in-need,"This year in recognition of their ongoing dedication and charitable sacrifice to help all those in need through mutual help , true comradeship and sound memory over the past 90 years , the MOTHs of the Better ' Ole Shellhole will stand proudly to attention as Guard of Honour and sentries for the duration of this year 's Wayside Cross Remembrance Ceremony .",1
1117,hopeless,"""Despite excellent academic qualifications, Rani is shown at the door of countless interviews for an educational position. After five years, she finally obtains a job at St Notkers, but there is a catch. She has the famous 9F, students"" ""Hopeless"" ""are not accepted by teachers or students"".",1
1482,poor-families,"Aklima Sultana , a teacher of the institution , told The Daily Star , ? I feel very proud when I think I teach underprivileged students coming from very poor families. ?",1
5195,hopeless,"But what is the most striking in Mr. Trump's response is the dark image that he hurts America in the city center and black life: poverty, armed violence, bad education and despair.",1
6988,homeless,"After the Vatican controversy, McDonald's helps nourish the homeless in Rome",1
9850,homeless,"Pope Francis defended the poor and needy a cornerstone of its papacy, by installing shower stands for the homeless near the Vatican, offering meals and even a VIP style visit to the Sistine Chapel.",1
8093,disabled,""""""" Most of the time , you will hear people advocating the inclusion of women in governance because they are vulnerable . What most people fail to recognise , however , is that disabled persons are even more vulnerable than women and need to be supported , """" he added .""",1
8894,poor-families,""""""" We want to supply these bicycles for Vietnamese students from poor families in remote areas so that they can pursue their studies , """" said Michael Shuman , a former U.S. Marine .""",1
1899,women,"The Kalpana Chakma case demonstrates how subjugating a people is achieved by attacks on women and how those guilty of it are allowed to get away scot-free . This woman showed outstanding courage , a lion heart who spoke up for the violated until she , herself , was violently silenced.",1
9312,poor-families,Vast expanses of South African lands belong to the government and are not used or are underused. The government can easily transfer a large part of this land to deserving poor families and communities.,1
2388,homeless,"Good and bad fashion as in pants attached to so low backs. Or dresses and skirts cut so high if a girl reaches out to pick up something in a shelf or wardrobe that her underwear is exposed so that the world can see it. Sumptuous lifestyles for the rich and the famous in which they spend millions of dollars in outfit, luxury vehicles in land and sea, and Cetera while American compatriots are worth in misery, unemployment, hungry and homeless.",1
8712,homeless,"""Dodgeball was flying quickly and harshly at the Morningsoid College today for the 5th annual attack on the fundraising of the Dodgeball Killer tournament. The double elimination tournament had 18 teams playing this year to collect funds for the Community Action Agency of Siouxland's Welcome Home Project"". ""The project aims to obtain homeless families from Siouxland, who contribute to their lives on the streets.",1
8797,in-need,"School for the Blind , Deaf and Dumb , Isulo , Anambra State , which parades a number of beautiful structures , is one of the schools battling with lack of facilities to meet the special educational needs of the children . According to Felix Nwaochi , President-General of Isulo Community , the school is seriously in need of water supply as many of the blind students have to fetch water from a stream to survive in the school .",1
5187,homeless,""""" ""So, instead of the recrimination, let us join hands in common work. Infant, the hungry, we are hosting the homeless, let's give work to those who do not have them, and bring medication to those who are sick"", ""said Uhuru.""",1
9488,hopeless,"This foundation has become an oasis for residents of Grant pen, and while they adopted our motto, ""do what love needs"", political tensions have attenuated and the hopeless young people were able to obtain skills training because the foundation joined Heart Trust / NTA to make them employable.",1
9036,hopeless,"The sound of the bulldozers coming ever closer , the presence of the bodies draped in the white Eritrean shawls ( suria ) at prayer beside me , the juxtaposition of the silent petitions of hope and peace alongside the violence of destruction and hopelessness were too much for the words which tried and failed to describe the scene . Witnessing became the witness of tears .",1
6398,in-need,""""" ""The world today needs it: this joy that stems from the meeting with Christ in a life of personal and community prayer, listening to the word daily, in the meeting with the brothers and sisters, in a happy fraternal life in the community, including fragility, and in the embrace of the flesh of Christ in the poor. The prophecies of a joy that was born to feel loved""",1
6843,poor-families,"With the assistances of the Shoal Livelihoods Programme through different NGOs , over 1,00,000 poor families living in the areas of these districts have achieved the success to overcome poverty since 2004 .",1
6611,vulnerable,"The actions of the GDR, while creating a praise in Colombo society, are symptomatic of a much deeper national problem which mainly affects poor and vulnerable citizens. Unfortunately, the misfortunes of the poor are rarely heard. Ignoring the laws and their rights, they cannot afford to hire lawyers and spend years in court to request remuneration.",1
514,in-need,""""" ""H.E.R.O. gives employees to reach out and help those who are in need"", ""Share the Cemex Treasury Team to Direct in Asia Daisy Delos Angeles.",1
3580,disabled,"""The figure of the unhappiness of the 19th century is evoked from the smoked darkness of the industrial leicester as a young boy who is drunk advocate with him to be in the world but not - to tow the line and to appear the same thing as everyone. Our elephant man does not carry the growth of the wing of his mother, to the hostile streets, to the freak show, until the all"" An art form by solitude """".",1
1038,homeless,"But displaced people were not left homeless by developers and government agencies ; displacement and resettlement in Singapore has been handled with tremendous care , and it is never begun unless replacement homes or flats for the affected are ready .",1
1976,vulnerable,""""" ""The American people, as we have always been, is there to associate with African countries to ensure that their most vulnerable populations receive vital aid.""",1
3462,in-need,The candidate promises to do good things and help those in need .,1
545,poor-families,"This year TEAM HOPE shoeboxes from Ireland will go to street children , orphans , children in hospital , poor families , victims of war and other needy situations in Eastern Europe and former Soviet Union e.g. Romania , Kosovo , Albania and Africa e.g. Cameroon , Congo , Rwanda .",1
8228,hopeless,"About the same time , she gave an interview to the Invisible People project , which documents the lives of the homeless ; she seems hopeless , resigned to her fate and dubious future .",1
9608,homeless,"""She said:"" ""I saw this need when I help with the wings of the Eagles wings, the mobile soup in Dundee.",1
9745,homeless,"Defend your dignity as human beings and children of God . Do not allow the rich and powerful , who are rich because you are poor , to divide you . They have light and water in their high fenced houses not because they are Muslims or Christians or that they are from this or that or the other tribe but simply because they are rich . You are poor , homeless , have no road , no water , and your children are sick and illiterate , not because you are Christian or Muslim or from this tribe or the other , but simply because you are poor . You and your children vote , but their children do not vote because they are abroad . Your children beg and die on the streets while their children are abroad fraternizing with those they call unbelievers . They give you a fake religion that enslaves you while they give their own children the religion of education that will liberate them and make them rule over you .",1
3701,hopeless,"A Cruel And Violent Political Strategy <h> Asylum seekers on Manus Island and Nauru have been exiled , displaced , crushed and left hopeless .",1
6035,poor-families,"In South Africa , education is a right and not a privilege , but an unfavourable background can unconsciously infringe on this right . It is an open secret that poverty is rife in our country , therefore , those who are privileged enough should assist those who do not have . It may sound like an overstatement , but there are many girls who come from poor families who miss school due to lack of sanitary pads .",1
228,vulnerable,"If these problems are not resolved, there is every chance that another journalist is back in 20 years to wonder how it is possible that vulnerable children are still cursed in hunger and horribly early death.",1
77,homeless,"In September, Major Nottle left on foot from Melbourne to Canberra to plead for a national solution to the problem of the homeless.",1
8600,in-need,"British Columbia The Minister of Housing, Selina Robinson, said that the project represents hope for many women and families in need.",1
3120,immigrant,"An immigrant to a developed country lives in two worlds . In the metropolitan societies he encounters a different way of looking at things . He develops new ideas , gains a new confidence . In the new country there are opportunities , he gets accustomed to a good standard of living . Yet he is an outsider , not fully assimilated , ethnicity and culture sets him apart from the mainstream . He yearns for familiarity , his roots . The idea of retiring to the original country comes to him .",1
10311,homeless,"""Poverty . Forty-seven million people rely on food stamps . Thirty-eight million households have nothing saved for retirement . Some 1.2 million children are homeless . An estimated 58,000 veterans live on the streets each night . These facts are a national disgrace . America 's massive , grinding poverty is eating away at our strength . What kind of a """" superpower """" allows a million children to fend for themselves on the street ?""",1
179,women,"Jenny Neal , regional director of the Grandmothers Advocacy Network for Saskatchewan and Manitoba , displays her orange scarf at the sculpture Prairie Wind at River Landing , Thursday , November 24 , 2016 , to promote 16 days of orange to raise awareness about violence against women.Greg Pender / The StarPhoenix",1
845,vulnerable,"In his tweet, Reham stressed how a ""real leader"" should protect vulnerable communities.",1
5270,homeless,The Cape Argus has launched a new collaborative editorial initiative called #TheDignityProject -- a 15-part daily series about the homeless people of Cape Town . Homeless person Danny Oosthuizen will be writing a daily column for the duration of the project . Read the fourth entry in Danny 's Diary below ...,1
3959,poor-families,"Mrs Gachagua attributed her kind gesture to a perennial , disturbing sight of despondent children from poor families gawping at kids from rich households as they make merry during festive seasons .",1
10020,hopeless,"Needless to say, whatever the level of handicap of his handicap, they face tenacious stigma and social exclusion in addition to their persistent physical or mental challenges. If life is difficult for adults with differently capacity, we can only imagine what it could be for children. Their parents become tired, frustrated and desperate. Most of them lack financial and other resources to deal with the situation. It is almost inconceivable how overwhelmed and helpless they feel, and therefore resort to an acceptance of resigned fate.",1
8680,disabled,""""""" Every abled person today can become disabled tomorrow . So we should treat our physically challenged brothers and sisters with dignity and respect , """" he cautioned .""",1
1510,vulnerable,""""""" Someone has to be there to care , """" he says . """" I think my passion for health-care policy comes from these vulnerable people who are forgotten . This whole experience has been more invigorating than I ever thought . """"""",1
282,homeless,"Why is the participation in voting so poor in rich countries like America, whose GDP can be high but which still has a large majority of homeless and poor? Democracy is not the solution to everything and most countries still do not practice democracy in all its meaning. Poor countries must show that they are democratic to play the field in globalization and modernization and bring their poor to the voting basin, which, in many cases, simply prefer to work on their field, because politicians have never really done much for them anyway.",1
4014,in-need,Accountability is suggesting that the people so in need of our help and support could have done a little bit more to help themselves .,1
6130,vulnerable,"""Speaking at the elaborate event , the first of its kind in Badagry , Chairman of the Association , Comrade Monday Denagan Honfovu , who also doubles as the President of Badagry Community Youth Association , BCYA , said , the idea to assist the vulnerable women was borne out of the saying , """" if you empower a woman , you empower the nation """" .""",1
9084,poor-families,""""" ""Everyone makes a mistake, no one is perfect. The execution is very bad, nobody likes it. We are very sorry for these poor families.""",1
10407,in-need,"""He said that his decision to help people in need did not benefit him personally, but"" ""such assistance was rather provided by all the employees of the group ... in one way or another, we all helped those who need it."" """"",1
5920,migrant,"""Mr. Mathur, born in India, came to Canada in the early 1970s when he was eight years old. His immigrant parents who worked hardly inspired him to be resilient, because they demonstrated him by fury of the difficulties of integration into society, research and food on the table. Filled with young families where"" ""it seemed that everyone was the same"", "" Sports "".",1
2226,homeless,Mother of three children on the verge of being homeless again <h> per,1
384,in-need,""""""" A lot of people are in need of better roads , potable water , skills training , the education and health-care facilities that need to be developed . They all want it to happen at one time and you have to explain to them that it is a process ... and will not happen overnight . We have made a lot of achievements and I do hope that we will be able to convey fully what the vision is for the constituency and that persons will buy into exactly what we have been trying to do , """" he said .""",1
8120,disabled,"Now everybody wonders how she takes care of herself , living with her disabled daughter after her husband died more than 20 years ago .",1
5023,in-need,"But despite the dwindling hope , Yemenis refuse to give up on others in need .",1
4655,in-need,"Vatican City: Suffering and showing empathy with others, approaching them to help restore their dignity: it is the attitude that the Christian should before those who suffer and who need it, said Pope Francis during mass this morning to Casa Santa Marta, commenting on the gospel of the son of dwarf.",1
8247,refugee,""""" ""CES (Rohingyas) who entered the country in a way by jumping the border regulations, we decided to shelter them on a humanitarian ground,"" he said, while adding that there are other refugees who also receive Bangladesh aid. """"",1
10135,poor-families,"Indian children from poor families never get a chance to use a computer . Nor do they get a chance to speak English . For the most part , their English teachers themselves struggle to speak it well because they too were badly taught .",1
8965,vulnerable,"Over the years, I have worked very hard to publicize this national shame. Our most vulnerable citizens in long -term care establishments have no voice and fate was able to fill this void by speaking loud and clear for them and their families on abuse in long -term care establishments and, in particular, the over -mediation of patients in these places.",1
6534,in-need,"The actor, who will be seen later this month in Avengers: Infinity War, found himself called to do the day of a young fan in need. On Wednesday, he spent time with Jacob on Monday, who is a 16 -year -old New York Upstate who has terminal cancer. The teenager, who has a rare form of bone cancer, has a list of buckets on which he works and understood to meet his favorite movie star.",1
7370,refugee,"Foreign Affairs spokesman Charles Jose said in a press briefing on Tuesday that the Philippines , as a signatory to the 1951 United Nations Convention Relating to the Status of Refugees , is committed to extend a hand to war refugees .",1
3954,homeless,""""" ""If a single human being is made homeless and forced to live in the street in any country, it is shame for the inhabitants of this country"" ""he adds.""",1
7805,hopeless,"Cecil Duddley Mends who is the CEO of Duddleys Expressions , a modern state of the art Fashion Couture in Ghana that focuses mainly on fashion shows in Africa and Europe did n't only win the Fashion Designer of the year award because of his immense progress in Ghana 's Fashion , but was also honored because he gave people hope from the hopelessness by training more than 1,000 people for free that can put food on their tables .",1
2822,hopeless,"Yemen, Syria, Iraq and Libya are militia states (anarchy); These are desperate states, hopeless. How can we save these states; Even the American army could not bring stability after 10 years in Iraq.",1
5432,vulnerable,"“A large-scale energy efficiency program and funded by the state is urgent to create jobs, reduce emissions and save the lives of some of the most vulnerable people in the United Kingdom. '",1
10324,hopeless,"When Prophet Elijah the Tishbite was so frustrated and hopeless that contemplated suicide and told God to kill him , the first thing God did was to solve his immediate need by giving him food . He gave him food again until he ate and his heart was settled and thought of suicide no more .",1
8154,poor-families,"""This raises the question of the"" ""Madrassa"" religious education network "", where children of poor families are indoctrinated to carry out suicide attacks. Several suicide bomber in recent months have been adolescent children forced to kiss the bomb rather than the book. However, global indignation is, so far, absent on this question. <H> road screen in schools""",1
4193,homeless,"Thousands of homeless Iranians huddled against the cold late on Monday , a day after at least 450 people were killed in Iran 's deadliest earthquake in more than a decade , Reuters reports , citing state television ....",1
7462,disabled,"By learning a skill, then by transmitting it to others, Otoyo not only changes the story around disabled people, his knitting work also helped him overcome the trauma of a decade spent fighting under one of the most brutal rebel groups in the world.",1
7396,homeless,"We work as if everything depends on us , and pray as though everything depends on God . But He does more than we could ever do . We beg , we build our homes for the poor , homeless and destitute . We build our own monasteries . We build our own beds and chairs . We cook , clean , make our own clothes , cut each other 's hair .",1
8276,disabled,"When we talk about the freedom it is essential to remember the valiant war heroes who fought to save our country from L. T. T. E. terrorism throughout 30 years . They sacrificed their lives . They lost their limbs . They became disabled and their families suffered heavily . Economy was ruined . About 100,000 people including civilians lost their lives . Thousands became disabled . Are the people who lost their lives in the 30 years long war were losers ? Are those who saved their lives are winners ? I believe that we , who saved our lives from that tragedy , should remember the lessons we learnt .",1
516,hopeless,The group believes that only a nana addo / bawumia administration can stop the depth of despair in which young people have fallen and restore the dreams of an inclusive and prosperous nation.,1
1542,hopeless,"""He was born HIV-positive . He 's healthy , but when Sasha met him , volunteering at an orphanage , he weighed half as much as a 3&amp;#xBD ; year-old boy should , and his hair was falling out . The only word he knew was Russian for """" Do n't do that . """" The nurses told Sasha not to touch him . Not because of the HIV . It was love they were concerned with . If he received any , he 'd want more , and none would be forthcoming . He was aging out of the ward , and now they were going to send him to another one , more hopeless still , where he would be thrown in with lost causes of all ages . And there he would remain , as long as he remained .""",1
822,in-need,"They unfortunately reach limited figures because budgets are necessarily restricted. Within our society, during our birthdays and in memory of our loved ones who died, we follow a tradition of giving alms as a meal to people in residential houses and give gifts to individuals. The State and society see them both as needing ""social services"" synonymous with ""charity"". This is the situation in Sri Lanka for many decades. People with disabilities are beneficiaries of goodwill and charity.",1
7983,homeless,"Keva Davis, from the neighboring Red Ground community, said many of Negril's less wealthy have been beneficiaries of the program and for that, she is very grateful.",1
2284,vulnerable,"The document shows why stakeholders' consultations with a variety of enlightened companies, civil society, work organizations, the academic world and others, including those that can provide a voice for the most vulnerable issue. It describes the various mechanisms and processes that countries like Korea, Japan, the United States and others have introduced to ensure that the interests of the stakeholders have contributed to creating or balanced the wider objectives of the trade negotiators.",1
4160,vulnerable,It is worth noting that 23 children coming from vulnerable families in the community benefit from scholarship awards from our organization including 3 in pre-school and 20 at the SOS primary school .,1
3186,migrant,"""When politicians discuss immigration , it is usually in high-flying terms . Jeb Bush says that """" immigrants create an engine of economic prosperity . """" Politicians always talk of importing the best and the brightest from abroad . But New York City 's salons capture the tawdry reality of illegal immigration , which creates islands of lawlessness where people can be mistreated with little consequence .""",1
171,women,""""" ""I am very happy to see the monetary results of making a donation of all these companies to the cooperative. Since I am also part of the 16xosu, I am still an interest in the place where money will be used and the difference it will be among women in Uganda,"" Triplett said. """"",1
4527,in-need,"For now the families are staying with friends and family . During the day they clean up the debris left by the fire , hoping that someone will come to their rescue . They received emergency relief packs , but they are still in need of clothes , beds , blankets and kitchen appliances .",1
10312,hopeless,"Over the past four decades, the tribal society has crossed the most tortuous, bloody, destructive, division and more and more brutal phases. The sons and daughters of these dark times have only seen barbarities, despair and helplessness. The children of jihad in the war zone had no window of opportunity or expression. As they saw a young man most beautiful - a budding model with a fascinating outfit and attractive photo sessions - being murdered by cold route, they could not simply take it and hurry in public spaces with a white flag in their hands. Suddenly, we see a spring of civil rights Pashtun emerging from the FATA death fields.",1
4376,refugee,"It 's lunchtime , and we 're sitting in the gutted remains of the house he 's painting today . The floor is littered with chips of concrete , and the windows are all blown out . Images of those bombed-out homes of Aleppo come to mind . But this building is being renovated , so the landowner can rent it to refugee families who can afford more than just a tent . Ibrahim 's is not one of those families .",1
4876,women,"Cold, wet and windy Our teams were in the streets late in the early hours of feeding homeless men and women # ichh # retweet4support",1
2465,migrant,"""The Capitalism of our time do not understand the value of the union, Becuse it has forgotten the Social Nature of the Economy, Enterprise, Life, Ties and Patents. But perhaps Our Society do not understand the Union because it do not see it fight in the ' The existential suburbs, Among the Discarded Laborers, Among the Immigrants, the Poor Who Are Under the City Walls; or Simple It Understand Why Corruption Has Sometimes Entered the Heart of Some Trade is not blocked.",1
7098,in-need,"Besides offering mega deals to its customers this 23rd March , Daraz.pk wishes to celebrate Pakistan Day with those who deserve it just as much but are unable to enjoy the same luxuries . The online shopping portal has taken a pledge to give back this Pakistan Day and has kicked off the ' You Buy One We Donate One ' campaign . With this campaign , Daraz has committed to help one Pakistani in need on every item sold on the Pakistan Day sale . Daraz wishes to join hands with its customers and other companies to work towards spreading smiles and promoting positivity.",1
8123,in-need,"""Dinu had developed a theme of life. The biblical verse was collar 4: 2"" ""continued seriously in prayer, being vigilant with Thanksgiving.",1
